,Review_title,Review_text,Ratings
0,Terrific,"I am writing this review after using the laptop for 4 Months and these are my observations.

Pros
1. Camera is HD like Really.
2. Connectivity is good.
3. Display is decent 4/5
4. Battery is 8 Hours (Really)
5.specs are cool according to the Price
6. Comes with original Microsoft and Windows
7. Also McAfee anti-virus is pre installed.


Cons.
Nothing as major",5
1,Simply awesome,"Delivery : Due to some reasons the delivery got delayed

Product : Worth the money, I took a 8GB RAM , 1TB HDD Dell Vostro.
Reading all day reviews was little hesitant but went ahead trust on Dell since I’ve been using thing brand for a while.

Suggestion for Buyers:
Please have a good Internet connection since u need to configure d setUp and having internet connection will help u.

Once the setup is done please goto Dell website check for Firmware n software updates and update it for be...
READ MORE",5
2,Just wow!,"Flipkart, you rock!
However, this is the 1st time I experienced the product was not delivered on the scheduled date but it was not at all a concern for me.

I love this product and found a value for money deal.
I would recommend everyone to buy it without giving a second thought.

Used it for two days and very much satisfied with the performance.
Make sure to update all windows updates along with the additional updates.


Thanks again for the wonderful offer.",5
3,Fair,"Have bought this laptop but performance is very bad, I\O is highly utilised all the time of you don't use the laptop also. New laptop will boot in almost 10 mins it will take, which is totally abnormal.

Solution: you have to upgrade your HDD to SSD which will give you the real performance. I upgraded it with 1TB SSD. Now it's looks fine , but had to spent almost 5-6 k extra for HDD.",3
4,Wonderful,"Delivery was on time and nicely packaged. Got the same specs as specified in the specifications section except for the battery life(around 5 hrs). Laptop boot time was too slow initially (what else can you expect from HDD), but after upgrading with NVMEit performs amazingly. getting boot time of 6-8 secs now. POINT TO BE NOTED: This laptop has a M.2 PCIe slot, so it supports only m.2 NVME or m.2 PCIe SSD, it DOES'NT support m.2 SATA SSD. There are two types of M.2 SSD, one with an m+b key and...
READ MORE",4
5,Very Good,"Nice laptop like it little bit slow when you first time open it web cam is not so good but okay
NB:I love the laptop😍🥰",4
6,Excellent,Light weight good looking with nice performance .I have used earlier Lenovo b40 from.last 10 years as compared with that it's not up to Mark but it's OK because dell is also good company let's see how many days it's work with same performance .,5
7,Awesome,Good product can go for it and just update ssd if needed. Delivery was so much delayed.,5
8,Really Nice,"I saw many negative comments before placing order, but still I thought Dell laptop would be good.

Received the laptop today, initial configuration took time but it is obvious.

Later on turn off and turn on were very quick. Good display and keypad. I feel it is worth for this price.

Will update my comments after using it for a while.

Observation: Webcam clarity is very poor",4
9,Very Good,"Best one, worth for money, budget laptop",4
10,Terrific,"I am writing this review after using the laptop for 4 Months and these are my observations.

Pros
1. Camera is HD like Really.
2. Connectivity is good.
3. Display is decent 4/5
4. Battery is 8 Hours (Really)
5.specs are cool according to the Price
6. Comes with original Microsoft and Windows
7. Also McAfee anti-virus is pre installed.


Cons.
Nothing as major",5
11,Simply awesome,"Delivery : Due to some reasons the delivery got delayed

Product : Worth the money, I took a 8GB RAM , 1TB HDD Dell Vostro.
Reading all day reviews was little hesitant but went ahead trust on Dell since I’ve been using thing brand for a while.

Suggestion for Buyers:
Please have a good Internet connection since u need to configure d setUp and having internet connection will help u.

Once the setup is done please goto Dell website check for Firmware n software updates and update it for be...
READ MORE",5
12,Just wow!,"Flipkart, you rock!
However, this is the 1st time I experienced the product was not delivered on the scheduled date but it was not at all a concern for me.

I love this product and found a value for money deal.
I would recommend everyone to buy it without giving a second thought.

Used it for two days and very much satisfied with the performance.
Make sure to update all windows updates along with the additional updates.


Thanks again for the wonderful offer.",5
13,Fair,"Have bought this laptop but performance is very bad, I\O is highly utilised all the time of you don't use the laptop also. New laptop will boot in almost 10 mins it will take, which is totally abnormal.

Solution: you have to upgrade your HDD to SSD which will give you the real performance. I upgraded it with 1TB SSD. Now it's looks fine , but had to spent almost 5-6 k extra for HDD.",3
14,Wonderful,"Delivery was on time and nicely packaged. Got the same specs as specified in the specifications section except for the battery life(around 5 hrs). Laptop boot time was too slow initially (what else can you expect from HDD), but after upgrading with NVMEit performs amazingly. getting boot time of 6-8 secs now. POINT TO BE NOTED: This laptop has a M.2 PCIe slot, so it supports only m.2 NVME or m.2 PCIe SSD, it DOES'NT support m.2 SATA SSD. There are two types of M.2 SSD, one with an m+b key and...
READ MORE",4
15,Very Good,"Nice laptop like it little bit slow when you first time open it web cam is not so good but okay
NB:I love the laptop😍🥰",4
16,Excellent,Light weight good looking with nice performance .I have used earlier Lenovo b40 from.last 10 years as compared with that it's not up to Mark but it's OK because dell is also good company let's see how many days it's work with same performance .,5
17,Awesome,Good product can go for it and just update ssd if needed. Delivery was so much delayed.,5
18,Really Nice,"I saw many negative comments before placing order, but still I thought Dell laptop would be good.

Received the laptop today, initial configuration took time but it is obvious.

Later on turn off and turn on were very quick. Good display and keypad. I feel it is worth for this price.

Will update my comments after using it for a while.

Observation: Webcam clarity is very poor",4
19,Very Good,"Best one, worth for money, budget laptop",4
20,Terrible product,Webcam quality is very bad,1
21,Absolute rubbish!,"One of the worst lap
It will struck again and again
it takes more time to open windows and chrome,
it gets more heat",1
22,Terrific,Good,5
